Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0279568,0.0527344,0.0256348,,,0.0297852
Bragg10-int8,0.0198133,0.0466309,0.0170898,,,0.0214844
Bragg11-int8,0.0227142,0.0522461,0.0197754,,,0.0249023
Bragg12-int8,0.0196693,0.0506592,0.0170898,,,0.0214844
Bragg13-int8,0.025044,0.0523682,0.0229492,,,0.0268555
Bragg14-int8,0.020058,0.048584,0.0168457,,,0.0222168
Bragg15-int8,0.0198395,0.0480957,0.0170898,,,0.0216064
Bragg16-int8,0.0270601,0.0541992,0.0244141,,,0.0286865
Bragg17-int8,0.019565,0.0527344,0.0166016,,,0.0212402
Bragg18-int8,0.022919,0.0471497,0.0195312,,,0.0251465
Bragg19-int8,0.0198883,0.0524902,0.0170898,,,0.0217285
Bragg1-int8,0.0204118,0.275757,0.0170898,,,0.0227051
Bragg20-int8,0.0199492,0.0453491,0.017334,,,0.0217285
Bragg21-int8,0.0230502,0.0578613,0.0200195,,,0.0251465
Bragg22-int8,0.0225893,0.0452881,0.0197754,,,0.0241699
Bragg23-int8,0.0306043,0.0593262,0.027832,,,0.0324707
Bragg24-int8,0.0243248,0.114746,0.0221558,,,0.026123
Bragg25-int8,0.0226013,0.0495605,0.0198059,,,0.024292
Bragg26-int8,0.0247096,0.362671,0.0224609,,,0.0265503
Bragg27-int8,0.0299218,0.0563965,0.0275269,,,0.0314941
Bragg28-int8,0.0293751,0.0545654,0.0268555,,,0.03125
Bragg29-int8,0.0272339,0.052124,0.0249023,,,0.0290527
Bragg2-int8,0.0198208,0.0418701,0.0170898,,,0.0214844
Bragg30-int8,0.0241662,0.343018,0.0217285,,,0.026123
Bragg31-int8,0.0240232,0.0500488,0.0219116,,,0.0256958
Bragg32-int8,0.0269721,0.0534668,0.0244141,,,0.0284424
Bragg33-int8,0.0241575,0.059021,0.0214844,,,0.026123
Bragg34-int8,0.0247336,0.0494385,0.0227051,,,0.0264893
Bragg35-int8,0.0243855,0.0566406,0.0223389,,,0.026123
Bragg36-int8,0.0241342,0.109863,0.0219727,,,0.026001
Bragg37-int8,0.0275655,0.053833,0.0249023,,,0.0292969
Bragg38-int8,0.0278761,0.0791016,0.0254517,,,0.0297852
Bragg39-int8,0.0230022,0.0577393,0.0205078,,,0.0248413
Bragg3-int8,0.0198864,0.0487061,0.0170898,,,0.0217285
Bragg40-int8,0.0228461,0.0480347,0.0202637,,,0.0245361
Bragg41-int8,0.0227042,0.057251,0.0200195,,,0.0243835
Bragg42-int8,0.026984,0.0603027,0.0244141,,,0.0285645
Bragg43-int8,0.0238358,0.0549316,0.0217285,,,0.0256348
Bragg44-int8,0.024026,0.0610352,0.0217285,,,0.0258789
Bragg45-int8,0.0269265,0.0571289,0.0244141,,,0.0284424
Bragg46-int8,0.0275795,0.067627,0.0249023,,,0.0294189
Bragg47-int8,0.0270895,0.0574951,0.0249023,,,0.0286865
Bragg48-int8,0.0277583,0.116455,0.0253906,,,0.0297852
Bragg49-int8,0.0229744,0.111053,0.0196533,,,0.0249634
Bragg4-int8,0.0198652,0.0476074,0.017334,,,0.0216675
Bragg50-int8,0.0222518,0.0678711,0.0192871,,,0.0241699
Bragg51-int8,0.0300519,0.311157,0.0266113,,,0.0322266
Bragg52-int8,0.0239187,0.0506592,0.0217285,,,0.0257568
Bragg53-int8,0.0246172,0.0534668,0.0222168,,,0.0262604
Bragg54-int8,0.02211,0.0495605,0.0192871,,,0.0239258
Bragg55-int8,0.0243943,0.0581055,0.0219727,,,0.026123
Bragg56-int8,0.0245076,0.0507812,0.0219727,,,0.026123
Bragg57-int8,0.0244641,0.0597534,0.0222168,,,0.0262451
Bragg58-int8,0.0238911,0.0471802,0.0217285,,,0.0257416
Bragg59-int8,0.0243428,0.0664062,0.0222168,,,0.026001
Bragg5-int8,0.0197409,0.0535889,0.0169678,,,0.0213623
Bragg60-int8,0.0255881,0.14447,0.0227051,,,0.0270996
Bragg61-int8,0.0238532,0.0469971,0.0217285,,,0.0256958
Bragg62-int8,0.0272938,0.0606689,0.0246582,,,0.0288086
Bragg63-int8,0.0311556,0.0679321,0.0284424,,,0.0333862
Bragg64-int8,0.0280825,0.0535889,0.0256348,,,0.0299377
Bragg65-int8,0.0245138,0.050293,0.0224609,,,0.026123
Bragg66-int8,0.0278064,0.0649414,0.0251465,,,0.0299683
Bragg67-int8,0.0270822,0.0592041,0.0246582,,,0.0288086
Bragg68-int8,0.0269431,0.0568237,0.0245361,,,0.0285645
Bragg69-int8,0.0246256,0.0552979,0.0229492,,,0.0262451
Bragg6-int8,0.0200894,0.0441895,0.0175171,,,0.0218506
Bragg70-int8,0.0198408,0.333008,0.0170898,,,0.0216064
Bragg71-int8,0.0273409,0.311523,0.0249023,,,0.0290527
Bragg72-int8,0.0223997,0.0543518,0.0194702,,,0.0240479
Bragg73-int8,0.0227503,0.0561523,0.0197754,,,0.0250244
Bragg74-int8,0.0243782,0.116821,0.0222168,,,0.026123
Bragg75-int8,0.0220511,0.0463867,0.019043,,,0.0239258
Bragg76-int8,0.0242742,0.0505371,0.0219727,,,0.0258789
Bragg77-int8,0.0194572,0.0498047,0.0168457,,,0.0212402
Bragg78-int8,0.0248143,0.0654297,0.0228271,,,0.0266113
Bragg79-int8,0.0277793,0.0563965,0.0251465,,,0.0302734
Bragg7-int8,0.0280528,0.0666504,0.0251465,,,0.0305176
Bragg80-int8,0.0239429,0.0447998,0.0217285,,,0.0257568
Bragg81-int8,0.0247766,0.0485229,0.022644,,,0.0263672
Bragg82-int8,0.0250858,0.0581055,0.0224609,,,0.026947
Bragg83-int8,0.0245981,0.0544434,0.0217285,,,0.0263672
Bragg84-int8,0.0222941,0.0556641,0.0192871,,,0.0244141
Bragg85-int8,0.0248426,0.0578613,0.0229492,,,0.0266113
Bragg86-int8,0.0246548,0.0563965,0.0224609,,,0.0264893
Bragg87-int8,0.0243304,0.0582275,0.0220947,,,0.026123
Bragg88-int8,0.0276696,0.0639648,0.0251465,,,0.029541
Bragg89-int8,0.0195858,0.0471191,0.0170898,,,0.0213623
Bragg8-int8,0.028756,0.0577393,0.026123,,,0.0307617
Bragg90-int8,0.0223618,0.0549316,0.0195923,,,0.0239868
Bragg91-int8,0.0252372,0.0599365,0.0224609,,,0.0270996
Bragg92-int8,0.0253286,0.0471191,0.0227051,,,0.0270996
Bragg93-int8,0.0231096,0.0509033,0.020752,,,0.0249023
Bragg94-int8,0.0250962,0.0568848,0.0224609,,,0.0268555
Bragg95-int8,0.0253214,0.0650635,0.0231934,,,0.0268555
Bragg96-int8,0.0247453,0.0516357,0.0229492,,,0.0264893
Bragg97-int8,0.0241459,0.109009,0.0218506,,,0.026123
Bragg98-int8,0.0248894,0.0739136,0.0231934,,,0.0264893
Bragg99-int8,0.024007,0.0500488,0.0219727,,,0.0257568
Bragg9-int8,0.0266449,0.0527344,0.0241699,,,0.0280762
