Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Bragg0-int8,0.0303034,0.0552979,0.0273438,,,0.0324707
Bragg10-int8,0.0262651,0.0556641,0.0239258,,,0.0278931
Bragg11-int8,0.0302053,0.0537109,0.0273438,,,0.0319824
Bragg12-int8,0.0353875,0.678223,0.0317993,,,0.0378418
Bragg13-int8,0.0231058,0.0427246,0.0205078,,,0.0251465
Bragg14-int8,0.0272919,0.0524902,0.0249023,,,0.0290527
Bragg15-int8,0.0249577,0.050293,0.0230713,,,0.0268555
Bragg16-int8,0.0245099,0.0515137,0.0224609,,,0.026123
Bragg17-int8,0.0306716,0.564453,0.0275879,,,0.0328369
Bragg18-int8,0.0331944,0.0649414,0.0302734,,,0.0354004
Bragg19-int8,0.0293986,0.338135,0.0266113,,,0.0311279
Bragg1-int8,0.0235967,0.0473633,0.0214844,,,0.0253906
Bragg20-int8,0.030776,0.0643005,0.027832,,,0.0327148
Bragg21-int8,0.0294103,0.0576172,0.0268555,,,0.031311
Bragg22-int8,0.0379761,0.0556641,0.0350952,,,0.0402832
Bragg23-int8,0.033677,0.0581055,0.0307007,,,0.0361938
Bragg24-int8,0.0301156,0.0991211,0.0272827,,,0.0315552
Bragg25-int8,0.0294012,0.0545654,0.0267334,,,0.0310059
Bragg26-int8,0.0308022,0.0518188,0.0283203,,,0.032959
Bragg27-int8,0.0237364,0.0830688,0.0212402,,,0.0258789
Bragg28-int8,0.0276427,0.0532227,0.0253906,,,0.029541
Bragg29-int8,0.0282593,0.2854,0.0259399,,,0.0300293
Bragg2-int8,0.0319198,0.118652,0.0288086,,,0.034668
Bragg30-int8,0.0235846,0.0618896,0.0212402,,,0.0257568
Bragg31-int8,0.0439455,0.0720215,0.0407715,,,0.0462646
Bragg32-int8,0.046868,0.0890198,0.0422363,,,0.0550232
Bragg33-int8,0.037703,0.0612793,0.0348511,,,0.0400391
Bragg34-int8,0.0230727,0.0548096,0.0205078,,,0.0246582
Bragg35-int8,0.0306115,0.0622559,0.0280762,,,0.0327148
Bragg36-int8,0.0272714,0.0552979,0.0249023,,,0.0291138
Bragg37-int8,0.0224089,0.0524902,0.0192871,,,0.0244141
Bragg38-int8,0.02182,0.0465088,0.019043,,,0.0236816
Bragg39-int8,0.0328144,0.0606689,0.0299683,,,0.0354004
Bragg3-int8,0.0213299,0.0517578,0.0183105,,,0.0230713
Bragg40-int8,0.0223926,0.0505371,0.0197754,,,0.0239258
Bragg41-int8,0.0216436,0.0551758,0.0187988,,,0.0234375
Bragg42-int8,0.0307059,0.0591431,0.0281982,,,0.0328979
Bragg43-int8,0.0269064,0.110474,0.0244751,,,0.0285645
Bragg44-int8,0.0248516,0.0534668,0.0228882,,,0.0264893
