Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,12.2269,14.7452,12.1261,,,12.5786
Ptycho10,20.9025,24.9698,20.7732,,,21.3149
Ptycho11,12.6438,13.0132,12.554,,,13.0124
Ptycho12,22.3025,27.3763,22.1431,,,26.2777
Ptycho13,26.5995,27.114,26.4736,,,27.095
Ptycho14,5.7211,6.34424,5.64893,,,5.96674
Ptycho15,6.19616,6.65289,6.12622,,,6.51202
Ptycho16,15.9568,42.002,10.4048,,,41.9524
Ptycho17,5.9375,55.1258,5.07617,,,11.9219
Ptycho18,5.21607,7.6265,5.14917,,,5.46492
Ptycho19,38.3676,38.7458,38.3169,,,38.7458
Ptycho1,10.1054,10.4861,10.0205,,,10.48
Ptycho20,12.4671,13.8825,12.3284,,,12.7866
Ptycho21,5.88118,6.17102,5.81396,,,6.15424
Ptycho22,20.5287,23.5457,20.093,,,23.5443
Ptycho23,6.94328,9.7959,6.85889,,,7.2179
Ptycho24,4.6394,4.87982,4.58081,,,4.86749
Ptycho25,11.8994,14.8961,11.8018,,,12.2136
Ptycho26,6.82156,7.08875,6.75635,,,7.07159
Ptycho27,5.6254,6.20154,5.55615,,,5.90439
Ptycho28,3.52016,3.78198,3.47559,,,3.73804
Ptycho29,3.40001,3.69104,3.35352,,,3.64822
Ptycho2,14.6165,15.0743,14.5166,,,14.9788
Ptycho30,7.81106,17.5957,5.61938,,,16.9986
Ptycho31,1.78857,3.58189,1.74072,,,1.93152
Ptycho32,4.72598,7.78831,4.65869,,,4.94818
Ptycho33,4.59447,4.88281,4.54419,,,4.85297
Ptycho34,2.70632,2.94467,2.66284,,,2.90659
Ptycho35,17.2663,20.3242,17.1147,,,18.7854
Ptycho36,3.34659,3.84601,3.30103,,,3.60745
Ptycho37,5.22668,35.9604,3.24097,,,34.683
Ptycho38,3.11009,3.39929,3.06055,,,3.33917
Ptycho39,2.20263,2.82483,1.9248,,,2.78979
Ptycho3,8.34546,9.56227,8.26123,,,8.77394
Ptycho40,4.15668,6.65128,4.08606,,,4.40466
Ptycho41,6.04763,10.044,5.96118,,,7.63113
Ptycho42,5.74891,6.11609,5.64453,,,6.09674
Ptycho43,4.96838,5.27005,4.91016,,,5.24942
Ptycho44,3.72751,4.00302,3.68262,,,3.96625
Ptycho45,4.29537,4.57465,4.24121,,,4.53879
Ptycho46,3.1526,3.41101,3.09863,,,3.37585
Ptycho47,4.29799,4.59613,4.23511,,,4.55963
Ptycho48,3.99656,4.26697,3.94019,,,4.24905
Ptycho49,3.40838,3.61545,3.37109,,,3.58752
Ptycho4,9.1914,12.8876,9.06421,,,9.5304
Ptycho50,3.83457,5.99696,3.77881,,,4.05267
Ptycho51,5.1544,5.49188,5.06519,,,5.4812
Ptycho52,4.47767,4.71466,4.42456,,,4.70872
Ptycho53,4.35089,6.19722,4.25635,,,4.65591
Ptycho54,3.32612,3.58624,3.28857,,,3.55145
Ptycho55,4.59505,4.91205,4.53711,,,4.84708
Ptycho56,3.38586,3.63431,3.33618,,,3.62375
Ptycho57,5.2211,5.61971,5.15259,,,5.47998
Ptycho58,2.31316,2.54298,2.26929,,,2.51466
Ptycho59,5.37725,52.7623,4.74316,,,25.5439
Ptycho5,4.73394,5.04459,4.66919,,,5.01086
Ptycho60,4.52734,4.82318,4.46289,,,4.81258
Ptycho61,3.73011,7.92918,3.58423,,,6.88193
Ptycho62,2.57501,3.39342,2.52075,,,2.77429
Ptycho63,3.64175,3.927,3.58667,,,3.89777
Ptycho64,3.18593,3.40601,3.1438,,,3.36717
Ptycho65,3.3909,6.04587,3.34131,,,3.5686
Ptycho66,4.52079,4.79663,4.47437,,,4.76273
Ptycho67,4.99535,7.12941,4.93188,,,5.2121
Ptycho68,3.78676,4.03897,3.73962,,,4.00714
Ptycho69,4.02516,8.54526,3.90381,,,6.3074
Ptycho6,9.22544,12.9863,9.12939,,,9.51495
Ptycho70,3.49381,5.7531,3.4519,,,3.62177
Ptycho71,4.45832,42.457,3.79858,,,9.2124
Ptycho72,11.2783,15.4898,11.1536,,,13.3151
Ptycho73,2.54094,2.74854,2.49658,,,2.70892
Ptycho74,33.7285,34.2106,33.6541,,,34.2106
Ptycho75,5.49555,5.82266,5.43237,,,5.80194
Ptycho76,3.90279,4.1882,3.84741,,,4.15048
Ptycho77,5.26639,10.2169,5.10034,,,8.0372
Ptycho78,7.16092,7.45345,7.10303,,,7.44812
Ptycho79,3.75783,4.06548,3.69678,,,3.97925
Ptycho7,7.17706,9.51167,7.08105,,,7.49512
Ptycho80,5.47083,5.83276,5.39844,,,5.78491
Ptycho81,4.81315,5.07281,4.74854,,,5.05817
Ptycho82,4.223,4.46826,4.17285,,,4.45963
Ptycho83,7.90042,8.22025,7.84155,,,8.20935
Ptycho84,5.67209,5.93103,5.61768,,,5.91925
Ptycho85,3.7541,4.08456,3.70923,,,3.93503
Ptycho86,5.47315,5.75806,5.41089,,,5.74841
Ptycho87,5.02092,5.84392,4.96411,,,5.2518
Ptycho88,10.7279,13.2137,10.6018,,,11.0535
Ptycho89,9.60291,9.88857,9.52588,,,9.87457
Ptycho8,7.84911,8.18179,7.76978,,,8.17172
Ptycho90,2.69861,2.86072,2.67102,,,2.84991
Ptycho91,8.81779,9.1568,8.71582,,,9.1506
Ptycho92,6.86215,7.22806,6.74634,,,7.22186
Ptycho93,6.52786,6.89188,6.43115,,,6.8822
Ptycho94,7.7518,8.02759,7.68042,,,8.02301
Ptycho95,10.8037,22.933,7.38403,,,22.9063
Ptycho96,8.32228,8.71481,8.24658,,,8.62735
Ptycho97,7.90172,8.18512,7.84399,,,8.17407
Ptycho98,2.70816,5.28625,2.64844,,,2.88745
Ptycho99,5.2079,5.5304,5.14136,,,5.52409
Ptycho9,6.94959,7.2854,6.88037,,,7.27948
