Engine File,Mean Latency (ms),Max Latency (ms),Min Latency (ms),90th Percentile Latency (ms),95th Percentile Latency (ms),99th Percentile Latency (ms)
Ptycho0,4.02135,6.45021,3.93628,,,4.25989
Ptycho10,1.52247,1.69415,1.49011,,,1.66904
Ptycho11,10.0215,33.9246,5.82422,,,33.8989
Ptycho12,4.08859,5.74379,4.01941,,,4.30212
Ptycho13,5.09174,5.62196,5.02197,,,5.29724
Ptycho14,2.45269,4.2753,2.40381,,,2.61383
Ptycho15,2.01019,3.1349,1.95312,,,2.64101
Ptycho16,2.65491,4.01688,2.59302,,,3.79762
Ptycho17,5.01433,7.35703,4.91077,,,5.28644
Ptycho18,2.41441,4.11783,2.34583,,,2.59962
Ptycho19,3.37493,5.49649,3.31836,,,3.54187
Ptycho1,3.83465,4.23935,3.7782,,,4.073
Ptycho20,3.31696,6.33505,2.75452,,,6.04977
Ptycho21,3.33027,4.86734,3.25977,,,4.00549
Ptycho22,2.34201,4.03859,2.25964,,,2.53477
Ptycho23,3.31153,5.27965,3.25244,,,3.58295
Ptycho24,3.79165,6.52643,3.67749,,,6.20328
Ptycho25,2.67445,2.86743,2.62134,,,2.84586
Ptycho26,3.37717,6.68704,3.25134,,,5.87108
Ptycho27,5.02885,9.27924,4.71729,,,8.46333
Ptycho28,8.3581,10.6942,8.27686,,,8.90674
Ptycho29,6.18735,26.9323,4.54858,,,26.4207
Ptycho2,4.165,7.08461,4.08008,,,4.4017
Ptycho30,6.03224,8.47437,5.95703,,,6.28912
Ptycho31,4.71446,7.51071,4.64844,,,4.90027
Ptycho32,3.18691,5.19283,3.12,,,3.37672
Ptycho33,3.00426,5.42079,2.9585,,,3.16925
Ptycho34,4.35333,6.92007,4.21558,,,6.34943
Ptycho35,2.72206,4.98965,2.62976,,,4.60622
Ptycho36,2.68763,4.92067,2.63123,,,2.85876
Ptycho37,3.04362,5.17223,2.99731,,,3.19147
Ptycho38,2.31055,2.46246,2.27734,,,2.45186
Ptycho39,2.6993,4.43707,2.64807,,,2.83046
Ptycho3,3.58503,6.03935,3.52344,,,3.75421
Ptycho40,2.49557,16.5464,1.51538,,,16.0205
Ptycho41,4.3312,10.9508,4.10809,,,7.28928
Ptycho42,3.98545,6.6138,3.92676,,,4.17117
